1024
0.043127,0
0.058803,0
0.074479,0
0.090155,0
0.105831,0
0.121507,0
0.137183,1
0.152859,0
0.168535,0
0.184211,0
0.199887,0
0.215563,0
0.231239,0
0.246915,0
0.262591,0
0.278267,0
0.293943,0
0.309619,0
0.325295,0
0.340971,0
0.356647,0
0.372323,0
0.387999,0
0.403675,0
0.419351,0
0.435027,0
0.450703,0
0.466379,0
0.482055,0
0.497731,0
0.513407,0
0.529083,0
0.544759,0
0.560435,0
0.576111,0
0.591787,0
0.607463,0
0.623139,5
0.638815,17
0.654491,17
0.670167,20
0.685843,13
0.701519,25
0.717195,21
0.732871,22
0.748547,17
0.764223,24
0.779899,28
0.795575,29
0.811251,27
0.826927,27
0.842603,39
0.858279,31
0.873955,48
0.889631,41
0.905307,34
0.920983,34
0.936659,44
0.952335,37
0.968011,43
0.983687,51
0.999363,71
1.015039,50
1.030715,56
1.046391,57
1.062067,59
1.077743,50
1.093419,55
1.109095,62
1.124771,40
1.140447,49
1.156123,59
1.171799,43
1.187475,60
1.203151,50
1.218827,59
1.234503,43
1.250179,42
1.265855,53
1.281531,48
1.297207,49
1.312883,52
1.328559,58
1.344235,42
1.359911,63
1.375587,52
1.391263,56
1.406939,47
1.422615,55
1.438291,46
1.453967,45
1.469643,49
1.485319,49
1.500995,52
1.516671,53
1.532347,51
1.548023,39
1.563699,56
1.579375,53
1.595051,48
1.610727,47
1.626403,67
1.642079,44
1.657755,55
1.673431,67
1.689107,76
1.704783,57
1.720459,69
1.736135,67
1.751811,77
1.767487,92
1.783163,102
1.798839,100
1.814515,86
1.830191,128
1.845867,111
1.861543,119
1.877219,137
1.892895,174
1.908571,195
1.924247,227
1.939923,289
1.955599,323
1.971275,345
1.986951,421
2.002627,406
2.018303,427
2.033979,431
2.049655,450
2.065331,491
2.081007,480
2.096683,547
2.112359,590
2.128035,680
2.143711,693
2.159387,618
2.175063,638
2.190739,535
2.206415,460
2.222091,379
2.237767,329
2.253443,288
2.269119,214
2.284795,191
2.300471,151
2.316147,154
2.331823,144
2.347499,132
2.363175,144
2.378851,111
2.394527,104
2.410203,87
2.425879,72
2.441555,95
2.457231,73
2.472907,65
2.488583,71
2.504259,66
2.519935,74
2.535611,88
2.551287,77
2.566963,79
2.582639,87
2.598315,106
2.613991,93
2.629667,117
2.645343,93
2.661019,93
2.676695,92
2.692371,81
2.708047,90
2.723723,62
2.739399,74
2.755075,55
2.770751,54
2.786427,72
2.802103,62
2.817779,51
2.833455,65
2.849131,61
2.864807,53
2.880483,64
2.896159,72
2.911835,58
2.927511,61
2.943187,59
2.958863,56
2.974539,68
2.990215,47
3.005891,67
3.021567,54
3.037243,56
3.052919,60
3.068595,82
3.084271,72
3.099947,81
3.115623,84
3.131299,93
3.146975,62
3.162651,76
