5:48  , 100.00,  50.00, 64,14/10/96
5:51  , 100.00,  50.00, 64,14/10/96
5:54  , 100.00,  50.00, 64,14/10/96
5:57  , 100.00,  50.00, 64,14/10/96
6:0   , 100.00,  50.00, 64,14/10/96
6:3   , 100.00,  50.00, 64,14/10/96
6:6   , 100.00,  50.00, 64,14/10/96
6:9   , 100.00,  50.00, 64,14/10/96
6:12  , 100.00,  50.00, 64,14/10/96
6:15  , 100.00,  17.39, 64,14/10/96
6:18  , 100.00,  50.00, 64,14/10/96
6:21  , 100.00,  50.00, 64,14/10/96
6:24  , 100.00,  50.00, 64,14/10/96
6:27  , 100.00,  50.00, 64,14/10/96
6:30  , 100.00,  50.00, 64,14/10/96
6:33  , 100.00,  50.00, 64,14/10/96
6:36  , 100.00,  50.00, 64,14/10/96
6:39  , 100.00,  50.00, 64,14/10/96
6:42  , 100.00,  50.00, 64,14/10/96
6:45  , 100.00,  50.00, 64,14/10/96
6:48  , 100.00,  50.00, 64,14/10/96
6:51  , 100.00,  50.00, 64,14/10/96
6:54  , 100.00,  50.00, 64,14/10/96
6:57  , 100.00,  50.00, 64,14/10/96
7:0   , 100.00,  50.00, 64,14/10/96
7:3   , 100.00,  50.00, 64,14/10/96
7:6   , 100.00,  50.00, 64,14/10/96
7:9   , 100.00,  50.00, 64,14/10/96
7:12  , 100.00,  50.00, 64,14/10/96
7:15  , 100.00,  50.00, 64,14/10/96
7:18  , 100.00,  50.00, 64,14/10/96
7:21  , 100.00,  50.00, 64,14/10/96
7:24  , 100.00,  50.00, 64,14/10/96
7:27  , 100.00,  50.00, 64,14/10/96
7:30  , 100.00,  50.00, 64,14/10/96
7:33  , 100.00,  50.00, 64,14/10/96
7:36  , 100.00,  50.00, 64,14/10/96
7:39  , 100.00,  17.58, 64,14/10/96
7:42  , 100.00,  50.00, 64,14/10/96
7:45  , 100.00,  50.00, 64,14/10/96
7:48  , 100.00,  50.00, 64,14/10/96
7:51  , 100.00,  47.06, 64,14/10/96
7:54  , 100.00,  50.00, 64,14/10/96
7:57  , 100.00,  50.00, 64,14/10/96
8:0   , 100.00,  50.00, 64,14/10/96
8:3   , 100.00,  50.00, 64,14/10/96
8:6   , 100.00,  50.00, 64,14/10/96
8:9   , 100.00,  50.00, 64,14/10/96
8:12  , 100.00,  50.00, 64,14/10/96
8:15  , 100.00,  50.00, 64,14/10/96
8:18  , 100.00,  50.00, 64,14/10/96
8:21  , 100.00,  50.00, 64,14/10/96
8:24  , 100.00,  50.00, 64,14/10/96
8:27  , 100.00,  50.00, 64,14/10/96
8:30  , 100.00,  50.00, 64,14/10/96
8:33  , 100.00,  50.00, 64,14/10/96
8:36  , 100.00,  50.00, 64,14/10/96
8:39  , 100.00,  50.00, 64,14/10/96
8:42  , 100.00,  50.00, 64,14/10/96
8:45  , 100.00,  50.00, 64,14/10/96
8:48  , 100.00,  50.00, 64,14/10/96
8:51  , 100.00,  50.00, 64,14/10/96
8:54  , 100.00,  50.00, 64,14/10/96
8:57  , 100.00,  50.00, 64,14/10/96
9:0   , 100.00,  44.44, 64,14/10/96
9:3   , 100.00,  50.00, 64,14/10/96
9:6   , 100.00,  44.44, 64,14/10/96
9:9   , 100.00,  50.00, 64,14/10/96
9:12  , 100.00,  50.00, 64,14/10/96
9:15  , 100.00,  23.88, 64,14/10/96
9:18  , 100.00,  18.18, 64,14/10/96
9:21  , 100.00,  50.00, 64,14/10/96
9:24  , 100.00,  28.57, 64,14/10/96
9:27  , 100.00,   1.66, 64,14/10/96
9:30  , 100.00,  50.00, 64,14/10/96
9:33  , 100.00,  35.56, 64,14/10/96
9:36  , 100.00,  50.00, 64,14/10/96
9:39  , 100.00,  19.51, 64,14/10/96
9:42  , 100.00,  10.96, 64,14/10/96
9:45  , 100.00,  44.44, 64,14/10/96
9:48  , 100.00,   9.09, 64,14/10/96
9:51  , 100.00,  50.00, 64,14/10/96
