Wed Jan 01 00:00:00 PST 1997, 8
Thu Jan 02 00:00:00 PST 1997, 53
Fri Jan 03 00:00:00 PST 1997, 54
Mon Jan 06 00:00:00 PST 1997, 50
Tue Jan 07 00:00:00 PST 1997, 67
Wed Jan 08 00:00:00 PST 1997, 66
Thu Jan 09 00:00:00 PST 1997, 61
Fri Jan 10 00:00:00 PST 1997, 55
Mon Jan 13 00:00:00 PST 1997, 74
Tue Jan 14 00:00:00 PST 1997, 102
Wed Jan 15 00:00:00 PST 1997, 73
Thu Jan 16 00:00:00 PST 1997, 77
Fri Jan 17 00:00:00 PST 1997, 53
Mon Jan 20 00:00:00 PST 1997, 62
Tue Jan 21 00:00:00 PST 1997, 67
Wed Jan 22 00:00:00 PST 1997, 75
Thu Jan 23 00:00:00 PST 1997, 82
Fri Jan 24 00:00:00 PST 1997, 67
Mon Jan 27 00:00:00 PST 1997, 70
Tue Jan 28 00:00:00 PST 1997, 63
Wed Jan 29 00:00:00 PST 1997, 52
Thu Jan 30 00:00:00 PST 1997, 81
Fri Jan 31 00:00:00 PST 1997, 67
Mon Feb 03 00:00:00 PST 1997, 66
Tue Feb 04 00:00:00 PST 1997, 76
Wed Feb 05 00:00:00 PST 1997, 68
Thu Feb 06 00:00:00 PST 1997, 67
Fri Feb 07 00:00:00 PST 1997, 74
Mon Feb 10 00:00:00 PST 1997, 76
Tue Feb 11 00:00:00 PST 1997, 42
Wed Feb 12 00:00:00 PST 1997, 65
Thu Feb 13 00:00:00 PST 1997, 78
Fri Feb 14 00:00:00 PST 1997, 59
Mon Feb 17 00:00:00 PST 1997, 64
Tue Feb 18 00:00:00 PST 1997, 97
Wed Feb 19 00:00:00 PST 1997, 62
Thu Feb 20 00:00:00 PST 1997, 56
Fri Feb 21 00:00:00 PST 1997, 52
Mon Feb 24 00:00:00 PST 1997, 74
Tue Feb 25 00:00:00 PST 1997, 62
Wed Feb 26 00:00:00 PST 1997, 113
Thu Feb 27 00:00:00 PST 1997, 69
Fri Feb 28 00:00:00 PST 1997, 55
Mon Mar 03 00:00:00 PST 1997, 80
Tue Mar 04 00:00:00 PST 1997, 87
Wed Mar 05 00:00:00 PST 1997, 88
Thu Mar 06 00:00:00 PST 1997, 74
Fri Mar 07 00:00:00 PST 1997, 60
Mon Mar 10 00:00:00 PST 1997, 71
Tue Mar 11 00:00:00 PST 1997, 81
Wed Mar 12 00:00:00 PST 1997, 71
Thu Mar 13 00:00:00 PST 1997, 51
Fri Mar 14 00:00:00 PST 1997, 45
Mon Mar 17 00:00:00 PST 1997, 71
Tue Mar 18 00:00:00 PST 1997, 79
Wed Mar 19 00:00:00 PST 1997, 84
Thu Mar 20 00:00:00 PST 1997, 75
